accountId,averageAbsLoad,averageAccPedalPosD,averageAccPedalPosE,averageAcceleration,averageAltitude,averageAmbientAirTemp,averageClimb,averageCommThrottleAc,averageEngineTime,averageFuelPressure,averageGPSAcceleration,averageGPSLatitude,averageGPSLongitude,averageGear,averageGpsSpeed,averageHeadingChange,averageIncline,averageIntakeAirTemp,averageLoad,averageLongTermFuelTrim1,averageLongTermFuelTrim2,averageMaf,averageManifoldPressure,averageO211,averageO212,averageRelThrottlePos,averageRpm,averageShortTermFuelTrim1,averageShortTermFuelTrim2,averageSpeed,averageTemp,averageThrottlePos,averageThrottlePosB,averageTimingAdvance,count,driver,driverVehicle,eventId.day,eventId.hour,eventId.minute,eventId.month,eventId.quarter,eventId.year,eventTime.$date,maxAbsLoad,maxAccPedalPosD,maxAccPedalPosE,maxAcceleration,maxAltitude,maxAmbientAirTemp,maxClimb,maxCommThrottleAc,maxEngineTime,maxFuelPressure,maxGPSAcceleration,maxGear,maxGpsSpeed,maxHeadingChange,maxIncline,maxIntakeAirTemp,maxLoad,maxLongTermFuelTrim1,maxLongTermFuelTrim2,maxMaf,maxManifoldPressure,maxO211,maxO212,maxRelThrottlePos,maxRpm,maxShortTermFuelTrim1,maxShortTermFuelTrim2,maxSpeed,maxTemp,maxThrottlePos,maxThrottlePosB,maxTimingAdvance,minAbsLoad,minAccPedalPosD,minAccPedalPosE,minAcceleration,minAltitude,minAmbientAirTemp,minClimb,minCommThrottleAc,minEngineTime,minFuelPressure,minGPSAcceleration,minGear,minGpsSpeed,minHeadingChange,minIncline,minIntakeAirTemp,minLoad,minLongTermFuelTrim1,minLongTermFuelTrim2,minMaf,minManifoldPressure,minO211,minO212,minRelThrottlePos,minRpm,minShortTermFuelTrim1,minShortTermFuelTrim2,minSpeed,minTemp,minThrottlePos,minThrottlePosB,minTimingAdvance,vehicle
17350,,,,0.849337537,,,,,,,0.849337537,0,0,0.8,,,,87.8,45.17647059,-3.6,-3.4,1.738635744,,,16459,,1179.8,-0.4,0.4,12.80298322,185,19.68627451,,20.6,5,anupam,14,2,1,2,6,0,2017,1.49637E+12,,,,2.637962817,,,,,,,2.637962817,2,,,,89,79.60784314,-3,-2,6.6997794,,,24299,,2243,1,3,34.80422623,185,30.19607843,,27.5,,,,0,,,,,,,0,0,,,,87,22.74509804,-4,-4,0.45238392,,,7099,,619,-3,-4,0,185,16.8627451,,16,toyota-highlander-2005
17350,,,,1.235481805,,,,,,,1.235481805,0,0,1,,,,87,42.25490196,-3.5,-3,3.10484841,,,13699,,1485,1,4,7.924176507,185,22.45098039,,20,4,anupam,14,2,1,2,6,1,2017,1.49637E+12,,,,3.351852613,,,,,,,3.351852613,2,,,,87,63.92156863,-3,-2,6.69845664,,,26499,,2394,4,6,19.88812927,185,29.41176471,,21.5,,,,-0.705252811,,,,,,,-0.705252811,0,,,,87,24.70588235,-4,-4,0.46825704,,,6299,,622,0,2,0,185,16.8627451,,18.5,toyota-highlander-2005
17350,,,,-0.876068749,,,,,,,-0.876068749,0,0,2,,,,88.5,26.66666667,-4,-3.75,1.37104074,,,16399,,1022.5,1.25,1.5,9.788688626,185.5,18.82352941,,20.875,4,anupam,14,2,1,2,6,2,2017,1.49637E+12,,,,2.019509471,,,,,,,2.019509471,2,,,,89,29.01960784,-4,-3,3.8227764,,,28099,,1827,6,8,16.78060907,186,23.92156863,,27,,,,-4.062117907,,,,,,,-4.062117907,2,,,,87,22.74509804,-4,-4,0.49074396,,,4699,,619,-4,-2,2.486016159,185,16.8627451,,16.5,toyota-highlander-2005
17350,,,,-0.487552496,,,,,,,-0.487552496,0,0,0.5,,,,88,19.60784314,-4,-4,0.65278206,,,14249,,778.25,-3,-3,15.38222498,184,18.1372549,,16.5,4,anupam,14,2,1,2,6,3,2017,1.49637E+12,,,,0,,,,,,,0,1,,,,89,23.52941176,-4,-4,0.78439668,,,28099,,1085,0,0,33.56121815,185,20,,23,,,,-1.594963319,,,,,,,-1.594963319,0,,,,87,13.7254902,-4,-4,0.45238392,,,99,,610,-8,-12,0,183,16.8627451,,5.5,toyota-highlander-2005
17350,,,,0.106732945,,,,,,,0.106732945,0,0,2,,,,89.8,36.15686275,-3.8,-3.6,1.30688688,,,14259,,1197.6,1.2,1,11.93287756,185.4,19.1372549,,23.4,5,anupam,14,2,1,3,6,0,2017,1.49637E+12,,,,2.497432996,,,,,,,2.497432996,2,,,,91,63.52941176,-3,-3,3.99870348,,,25699,,1980,9,7,25.48166563,186,25.49019608,,39.5,,,,-2.821811758,,,,,,,-2.821811758,2,,,,89,19.21568627,-4,-4,0.48545292,,,6299,,619,-2,-2,1.864512119,185,16.8627451,,18,toyota-highlander-2005
17350,,,,-1.19221554,,,,,,,-1.19221554,0,0,2,,,,90,21.37254902,-4,-4,1.15840707,,,16399,,912,-2,0,14.76072094,185,18.92156863,,19.75,4,anupam,14,2,1,3,6,1,2017,1.49637E+12,,,,0.353027004,,,,,,,0.353027004,2,,,,91,23.52941176,-4,-4,2.73414492,,,27299,,995,0,1,23.61715351,185,23.1372549,,22.5,,,,-1.94054625,,,,,,,-1.94054625,2,,,,89,19.60784314,-4,-4,0.60450132,,,5499,,789,-4,-2,8.079552517,185,17.25490196,,15,toyota-highlander-2005
17350,,,,0.263791589,,,,,,,0.263791589,0,0,0.75,,,,90,34.01960784,-3.75,-3.5,1.07408112,,,20549,,1085,-1.5,-2.25,15.07147296,185.5,17.15686275,,14.75,4,anupam,14,2,1,3,6,2,2017,1.49637E+12,,,,1.410105592,,,,,,,1.410105592,2,,,,91,75.29411765,-3,-2,2.68388004,,,27299,,2124,3,4,30.45369795,186,17.64705882,,20,,,,-0.531502885,,,,,,,-0.531502885,0,,,,89,13.7254902,-4,-4,0.46032048,,,7099,,626,-8,-12,0,185,16.8627451,,0.5,toyota-highlander-2005
17350,,,,-0.178555381,,,,,,,-0.178555381,0,0,2,,,,90.5,18.03921569,-4,-3.5,0.78439668,,,5349,,1020.25,-0.75,0.25,14.76072094,185.5,18.43137255,,20.875,4,anupam,14,2,1,3,6,3,2017,1.49637E+12,,,,0.704852895,,,,,,,0.704852895,2,,,,91,22.74509804,-4,-2,1.6005396,,,7899,,1428,6,3,27.96768179,186,22.74509804,,25.5,,,,-0.883320125,,,,,,,-0.883320125,2,,,,89,14.11764706,-4,-4,0.47222532,,,99,,627,-9,-2,1.864512119,185,16.8627451,,19,toyota-highlander-2005
17350,,,,0.13471647,,,,,,,0.13471647,0,0,1,,,,93,23.23529412,-4,-4,0.51521502,,,28299,,643.5,-1,0.75,1.553760099,186,17.64705882,,17.625,4,anupam,14,2,1,4,6,0,2017,1.49637E+12,,,,1.243718776,,,,,,,1.243718776,2,,,,95,24.70588235,-4,-4,0.67063932,,,28899,,720,0,2,4.350528278,186,20,,20,,,,-0.704852895,,,,,,,-0.704852895,0,,,,91,21.96078431,-4,-4,0.4497384,,,27299,,608,-4,0,0,186,16.8627451,,15,toyota-highlander-2005
17350,,,,-0.035322764,,,,,,,-0.035322764,0,0,0.4,,,,92.6,22.19607843,-4.4,-3.6,0.61376064,,,27499,,835.4,0.2,0.6,3.729024239,186,17.7254902,,23,5,anupam,14,2,1,4,6,1,2017,1.49637E+12,,,,0,,,,,,,0,2,,,,95,23.52941176,-4,-3,0.93519132,,,28899,,1354,3,5,18.64512119,186,20,,34.5,,,,-0.176613822,,,,,,,-0.176613822,0,,,,91,18.82352941,-5,-4,0.4497384,,,25099,,615,-2,-4,0,186,16.8627451,,18.5,toyota-highlander-2005
